ID,Title,Severity,Type,Category,Scenario,Path,Description,Expected,Actual,Occurrences,Recommended Fix
QA-001,Login form missing required fields,HIGH,bug,Auth,S02 - Login with Email/PIN,/login,The login page does not display email and PIN input fields,Email input and PIN/password input fields visible,Form fields not detected by standard selectors,5/5,Verify login form renders correctly; check for conditional rendering issues
QA-002,Course search returns no results,HIGH,bug,API,S05 - Course Selection,/courses,Searching for known courses returns no results,Course search results displayed,Empty results or no search functionality,5/5,Verify RapidAPI integration; check API key configuration
QA-003,Score page lacks clear interaction path,MEDIUM,ux,UX,S06 - Live Scoring,/score,Score page does not show clear scoring controls or empty state,Hole navigation buttons or score input buttons or empty state CTA,Page content unclear with no obvious next action,5/5,Add clear empty state with Start Scoring CTA; ensure scoring UI renders when matches exist
QA-004,Home page shows error on empty data,MEDIUM,bug,Empty State,S22 - Empty State Handling,/,Home page displays error state instead of helpful empty state when no data exists,Clear empty state with Create your first trip guidance,Error message displayed,1/5,Add proper empty state component; handle null/undefined data gracefully
QA-005,Score page shows error on empty data,MEDIUM,bug,Empty State,S22 - Empty State Handling,/score,Score page displays error state instead of helpful empty state when no data exists,Clear empty state with guidance,Error message displayed,1/5,Add proper empty state component for scoring page
QA-006,Standings page shows error on empty data,MEDIUM,bug,Empty State,S22 - Empty State Handling,/standings,Standings page displays error state instead of helpful empty state when no data exists,Clear empty state with team standings placeholder,Error message displayed,1/5,Add proper empty state component for standings
QA-007,Navigation fails when offline,MEDIUM,bug,Offline,S18 - Offline Mode Basic,/standings,When device goes offline after initial load navigation throws network error,Service worker serves cached pages or shows offline indicator,Navigation throws network error,1/5,Verify service worker caching strategy; ensure critical pages are pre-cached
QA-008,Social page lacks clear features,LOW,ux,UX,S16 - Social Banter Feed,/social,Social page does not display clear post input or feed content,Visible post input textarea with feed or empty state,No clear social UI detected,5/5,Add visible post input textarea; show empty feed state with prompt
QA-009,Session management lacks lock controls,LOW,ux,UX,S15 - Session Locking,/captain/manage,Session management page does not show lock/unlock controls,Lock/unlock buttons for sessions,No lock controls detected,5/5,Ensure lock controls render when sessions exist; add empty state
QA-010,Schedule page lacks content,LOW,ux,UX,S09 - Schedule Management,/schedule,Schedule page content unclear with no visible schedule or events,Schedule display or clear empty state with Add Event prompt,Unclear content,5/5,Add schedule display or clear empty state
QA-011,Players page lacks content,LOW,ux,UX,S11 - Players Directory,/players,Players page does not show player list or clear empty state,Player directory or Add Player prompt,Unclear content,5/5,Add player directory or Add Player prompt for empty state
QA-012,Photo gallery lacks features,LOW,ux,UX,S17 - Photo Gallery,/social/photos,Photo gallery page lacks images or upload functionality,Photo grid or upload button,No clear photo UI detected,5/5,Add photo upload button; show empty gallery state
QA-013,Profile creation page visibility,LOW,bug,Navigation,S01 - New User Signup,/profile/create,Body element reports as hidden during navigation,Page fully visible after navigation,Body element hidden,5/5,Investigate profile creation page render lifecycle; check for layout shifts
QA-014,Slow network performance,LOW,performance,Performance,S20 - Slow Network,/,App times out on simulated 50kbps connection,Load with basic UI in under 15 seconds,Timeout exceeded,5/5,Optimize initial bundle size; implement progressive loading; add skeleton UI
